iter	Passed	Remaining
0	255	255462
1	257	128469
2	258	86045
3	260	64801
4	263	52489
5	265	43939
6	266	37833
7	268	33237
8	269	29661
9	270	26795
10	271	24453
11	273	22502
12	274	20851
13	276	19439
14	279	18373
15	281	17318
16	283	16383
17	285	15551
18	286	14816
19	288	14151
20	290	13525
21	292	12998
22	293	12478
23	295	11999
24	296	11560
25	297	11153
26	299	10775
27	300	10425
28	301	10098
29	302	9792
30	304	9502
31	305	9232
32	307	9006
33	308	8768
34	310	8550
35	311	8344
36	313	8146
37	314	7965
38	316	7789
39	317	7617
40	318	7451
41	319	7294
42	321	7151
43	322	7004
44	323	6864
45	324	6734
46	326	6610
47	327	6491
48	331	6424
49	332	6319
50	334	6220
51	339	6181
52	340	6077
53	341	5973
54	341	5871
55	342	5770
56	342	5674
57	343	5585
58	344	5502
59	345	5420
60	346	5340
61	348	5265
62	348	5185
63	349	5111
64	350	5037
65	354	5014
66	354	4942
67	355	4868
68	355	4800
69	356	4733
70	356	4670
71	357	4609
72	358	4550
73	359	4492
74	359	4435
75	360	4380
76	360	4326
77	361	4274
78	362	4222
79	362	4172
80	363	4124
81	364	4076
82	364	4030
83	365	3985
84	365	3938
85	367	3902
86	367	3856
87	368	3814
88	368	3773
89	369	3732
90	369	3692
91	370	3653
92	370	3615
93	371	3578
94	371	3541
95	372	3506
96	372	3471
97	373	3436
98	373	3403
99	374	3370
100	375	3339
101	375	3305
102	376	3275
103	376	3244
104	377	3216
105	377	3186
106	380	3177
107	381	3152
108	382	3124
109	382	3097
110	383	3070
111	383	3043
112	384	3017
113	384	2991
114	385	2966
115	385	2940
116	386	2916
117	386	2892
118	387	2867
119	387	2844
120	388	2821
121	388	2799
122	389	2775
123	389	2753
124	390	2731
125	390	2710
126	391	2690
127	391	2668
128	392	2648
129	392	2628
130	393	2608
131	396	2609
132	397	2592
133	398	2575
134	399	2557
135	400	2541
136	401	2526
137	401	2509
138	402	2493
139	403	2476
140	403	2460
141	404	2443
142	404	2426
143	405	2410
144	406	2394
145	406	2378
146	407	2362
147	407	2346
148	408	2331
149	408	2316
150	412	2316
151	412	2303
152	413	2289
153	414	2274
154	414	2260
155	415	2246
156	415	2232
157	416	2218
158	416	2204
159	417	2190
160	417	2177
161	418	2164
162	418	2151
163	419	2138
164	420	2125
165	420	2112
166	421	2100
167	421	2087
168	422	2075
169	422	2063
170	423	2051
171	423	2040
172	425	2035
173	426	2025
174	427	2013
